I_0,Left,Right
-1.5e-09,6.000419500650486,0.05266957691840268
-1.44e-09,4.7230680251019495,5.0984664956788395
-1.38e-09,3.5043032603250635,3.840482558370582
-1.32e-09,3.5357825204117947,3.913115388074195
-1.26e-09,6.044291327097704,0.15807820560936925
-1.2e-09,4.329876618649944,4.706683727771889
-1.14e-09,5.873185276144783,6.220428251146118
-1.08e-09,3.7770233596852805,4.1208607311275
-1.02e-09,4.735948437886128,5.06080353466862
-9.6e-10,5.956035310297128,0.03829001406652921
-9e-10,1.2873386880596183,1.6030254746874348
-8.4e-10,2.562044668186596,2.887545364055242
-7.8e-10,5.89544400978938,0.005589259086535847
-7.2e-10,1.4285754853595378,1.8143904957398629
-6.6e-10,0.6664395610433278,0.9755673900750477
-6e-10,5.5559920047471,5.896293752154168
-5.4e-10,4.954650275424488,5.3338462443815775
-4.8e-10,4.502758075509085,4.871094921085501
-4.2e-10,4.50835088703295,4.846673047034436
-3.6e-10,4.920322214820958,5.262811399126454
-3e-10,4.88781361002288,5.164129336731026
-2.4e-10,4.545463212572198,4.867894027531057
-1.8e-10,4.659853458157913,4.9896220871687635
-1.2e-10,5.102872880748661,5.433071194998376
-6e-11,3.4887811594668516,3.8877969258165934
0.0,4.63357132659667,4.99542775742571
6e-11,3.6506351179907974,4.007937799265955
1.2e-10,3.640965517963199,4.065378566973754
1.8e-10,4.651991946391816,5.067256711478153
2.4e-10,3.401446665712078,3.7347094435125414
3e-10,4.1969515913131,4.49051576986623
3.6e-10,4.028435284169689,4.272648209526129
4.2e-10,3.468326486209676,3.867228222103158
4.800000000000002e-10,3.324653729959184,3.695296443335511
5.4e-10,3.1685068167736365,3.487591006176556
5.999999999999998e-10,2.6931318081033417,3.043876968380136
6.6e-10,1.7090916283746589,2.0353299668989884
7.200000000000002e-10,0.43406033554503143,0.8330042561245552
7.8e-10,5.066406677864956,5.439493097028028
8.399999999999998e-10,1.1014912705150657,1.4808290091015914
9e-10,1.330584656496363,1.7218594584164908
9.600000000000002e-10,0.6223545911966131,1.0109971328942695
1.02e-09,5.552098486373265,5.8656131567474326
1.0799999999999998e-09,3.8347110765667547,4.185058399001813
1.14e-09,2.7321731686970665,3.0495051940886153
1.2000000000000002e-09,4.556208980415622,4.865659143127893
1.26e-09,1.0222423438966004,1.3592485866890334
1.3199999999999998e-09,4.140717710838102,4.459386802402474
1.38e-09,5.135855350836934,5.514009964144901
1.4400000000000002e-09,3.756403506155986,4.058411471318378
1.5e-09,3.897756831246599,4.269302009214133
